rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/explained_variance,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss
13.99,75,0.8509798899999999,418,153600,366,0.8910570219159126,0.057150416,740,-0.01845746576655074,0.0003,0.2,-0.19752116966992617,0.167724609375,0.028626643703319132,-0.030959077179431915
13.6,76,0.8875303299999999,424,155648,366,0.8879906684160233,0.069699764,750,-0.010752607999165775,0.0003,0.2,-0.1762562021613121,0.144580078125,0.026284615634358487,-0.015159649774432182
14.35,77,0.81711828,429,157696,366,0.84007228910923,0.15428442,760,-0.0044138410426967315,0.0003,0.2,-0.1504145190352574,0.11376953125,0.043165228143334386,0.010214184410870075
13.61,78,0.8819541499999999,435,159744,366,0.9149781540036201,0.05326216,770,-0.012680002007982694,0.0003,0.2,-0.1244201245252043,0.08076171875,0.017821695742895827,0.007700302638113499
13.07,79,0.9297970600000001,441,161792,366,0.940060306340456,0.047418237,780,-0.008071663111331872,0.0003,0.2,-0.0930378002114594,0.070458984375,0.011233273239486152,-0.02412305399775505
28.32,80,-0.52489973,447,163840,366,0.9427646994590759,0.06717457,790,-0.006100931359105744,0.0003,0.2,-0.1245759749901481,0.091015625,0.012148868013900938,-0.03664161264896393
43.23,81,-1.9403254600000002,452,165888,366,0.2748526334762573,0.14767331,800,-0.014226002652139868,0.0003,0.2,-0.5315646287053823,0.362744140625,0.22811540603870525,0.06805598735809326
45.63,82,-2.1429642099999997,458,167936,366,0.570895254611969,0.20926063,810,-0.0004638298079953529,0.0003,0.2,-0.4129918077494949,0.321142578125,0.46663084644824265,0.2424851953983307
35.83,83,-1.2024375,463,169984,366,0.43883657455444336,0.11619985,820,-0.03947477830515709,0.0003,0.2,-0.3041065119672567,0.28310546875,0.7124133386649192,0.2842502295970917
17.74,84,0.49724981,469,172032,366,0.5093141496181488,0.10158707,830,-0.025822963353130036,0.0003,0.2,-0.34825193746946753,0.266259765625,0.7364372117444873,0.38537877798080444
17.66,85,0.50043263,474,174080,366,0.39599400758743286,0.03256661,840,-0.0018364177507464775,0.0003,0.2,-0.24058275297284126,0.185888671875,0.33327109743840994,0.19001227617263794
14.97,86,0.7458519000000001,480,176128,366,0.7406186759471893,0.049291465,850,-0.012592618113558274,0.0003,0.2,-0.22539762565866112,0.1751953125,0.18244654033333063,0.06691303849220276
13.22,87,0.9072447199999999,486,178176,366,0.7788748741149902,0.028170709,860,-0.0044527190504595636,0.0003,0.2,-0.16066095524001867,0.11376953125,0.10034747723839246,0.033923130482435226
27.62,88,-0.33414972,491,180224,366,0.7593386620283127,0.1321865,870,-0.011364915140438825,0.0003,0.2,-0.14418622185476124,0.11728515625,0.027207848380203358,0.0004748208448290825
38.44,89,-1.34520019,497,182272,366,0.0026970505714416504,0.081415296,880,-0.05039007987070363,0.0003,0.2,-0.4409367005806416,0.439453125,0.20020272834226488,0.04484457150101662
39.21,90,-1.4990172299999998,502,184320,366,0.45592325925827026,0.086711675,890,-0.03253824844723567,0.0003,0.2,-0.43113247817382216,0.356787109375,0.37894465047866105,0.06487422436475754
18.36,91,0.43716735000000007,508,186368,366,0.5202471315860748,0.15257609,900,-0.04549260513158515,0.0003,0.2,-0.7769272709265351,0.45654296875,0.3959071755874902,0.15198352932929993
19.11,92,0.35884031,513,188416,366,0.4823773503303528,0.05082399,910,-0.022564541178871876,0.0003,0.2,-0.331982737313956,0.26484375,0.18574150102213025,0.018300600349903107
15.99,93,0.64713928,519,190464,366,0.6367539167404175,0.031042231,920,-0.012278563602012581,0.0003,0.2,-0.41862979969009756,0.22890625,0.15705686253495516,0.045879703015089035
15.45,94,0.6970001,524,192512,366,0.735783725976944,0.04118991,930,-0.016992354749527296,0.0003,0.2,-0.29949911651201544,0.2138671875,0.07762255265261046,0.042323142290115356
13.75,95,0.8498061500000001,530,194560,366,0.793481707572937,0.03594335,940,-0.020431932438805235,0.0003,0.2,-0.2814136631321162,0.2158203125,0.05184806543984451,-0.008060120046138763
13.98,96,0.8295029199999999,535,196608,367,0.8888014480471611,0.028777469,950,-0.011822133082023355,0.0003,0.2,-0.19781379313208164,0.117333984375,0.020327188592636956,0.010984047316014767
13.52,97,0.8710336,541,198656,367,0.8836567997932434,0.055287447,960,-0.009764474022813375,0.0003,0.2,-0.17786744225304574,0.141748046875,0.01977197316009551,0.0076008206233382225
12.92,98,0.9269144,546,200704,366,0.9210098385810852,0.035637703,970,-0.02080552411498502,0.0003,0.2,-0.1269917051307857,0.13388671875,0.015305971333873458,0.003988440148532391
