time/total_timesteps,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes
283674,0.5,70893,0.0001,8.330367563758045e-05,1051,-33.85093896,269,360.0,796
285114,0.5,71253,0.0001,8.311305282404646e-05,1057,-33.83943792,269,360.0,800
286554,0.5,71613,0.0001,4.462223660084419e-05,1063,-33.85115731,269,360.0,804
287994,0.5,71973,0.0001,0.0001577878138050437,1068,-33.83906805,269,360.0,808
289434,0.5,72333,0.0001,4.509851714828983e-05,1074,-33.8268043,269,360.0,812
290874,0.5,72693,0.0001,4.676590469898656e-05,1079,-33.849661229999995,269,360.0,816
292314,0.5,73053,0.0001,4.576943683787249e-05,1084,-33.8599844,269,360.0,820
293754,0.5,73413,0.0001,0.0002617855789139867,1092,-33.865343870000004,268,360.0,824
295194,0.5,73773,0.0001,9.616473107598722e-05,1099,-33.87297434,268,360.0,828
296411,0.5,74077,0.0001,7.600442040711641e-05,1105,-33.60276443,268,357.77,832
297743,0.5,74410,0.0001,0.00010414034477435052,1110,-33.56508928,268,356.69,836
298973,0.5,74718,0.0001,7.939134957268834e-05,1117,-33.32840452999999,267,354.59,840
300413,0.5,75078,0.0001,6.878293061163276e-05,1123,-33.324918649999994,267,354.59,844
301853,0.5,75438,0.0001,0.00010708568879636005,1131,-33.323046270000006,266,354.59,848
303042,0.5,75735,0.0001,7.023254875093699e-05,1143,-33.04796395,265,352.08,852
304482,0.5,76095,0.0001,4.8839752707863227e-05,1149,-33.04281761,264,352.08,856
305922,0.5,76455,0.0001,9.293433686252683e-05,1160,-33.0577632,263,352.08,860
307362,0.5,76815,0.0001,5.6234730436699465e-05,1168,-33.08206047,263,352.08,864
308802,0.5,77175,0.0001,5.9917794715147465e-05,1180,-33.08102172,261,352.08,868
310242,0.5,77535,0.0001,0.0001252766523975879,1187,-33.088965040000005,261,352.08,872
311682,0.5,77895,0.0001,0.00011535770318005234,1200,-33.09830659,259,352.08,876
313122,0.5,78255,0.0001,0.00010996668424922973,1210,-33.10764459,258,352.08,880
314562,0.5,78615,0.0001,6.520363240269944e-05,1218,-33.11174164999999,258,352.08,884
316002,0.5,78975,0.0001,3.1776915420778096e-05,1226,-33.12016129,257,352.08,888
317442,0.5,79335,0.0001,4.993622860638425e-05,1235,-33.12455001,257,352.08,892
318882,0.5,79695,0.0001,3.375888627488166e-05,1243,-33.16373604,256,352.08,896
320322,0.5,80055,0.0001,0.00026939556119032204,1251,-33.16931428,255,352.08,900
321510,0.5,80352,0.0001,9.552347182761878e-05,1258,-32.83487369,255,349.56,904
322950,0.5,80712,0.0001,2.8527205358841456e-05,1265,-32.846778650000005,255,349.56,908
324390,0.5,81072,0.0001,3.3438711398048326e-05,1272,-32.87091251,254,349.56,912
325830,0.5,81432,0.0001,3.4432927350280806e-05,1278,-32.85810478,254,349.56,916
327270,0.5,81792,0.0001,0.00012803303252439946,1285,-32.866865219999994,254,349.56,920
328710,0.5,82152,0.0001,0.0002522026188671589,1291,-32.883565129999994,254,349.56,924
329975,0.5,82468,0.0001,0.1241716668009758,1297,-32.63258945,254,347.81,928
331415,0.5,82828,0.0001,4.5854205382056534e-05,1304,-32.95415462999999,254,350.04,932
332749,0.5,83162,0.0001,1.555013659526594e-05,1309,-32.943644920000004,254,350.06,936
334189,0.5,83522,0.0001,5.9433110436657444e-05,1316,-33.197823400000004,253,352.16,940
335629,0.5,83882,0.0001,0.00011080964759457856,1322,-33.21646037,253,352.16,944
337069,0.5,84242,0.0001,6.896063132444397e-05,1328,-33.24700506,253,352.16,948
338509,0.5,84602,0.0001,4.336386336944997e-05,1334,-33.53742152,253,354.67,952
